fundoo,base,be,11881,Mon Nov  5 03:15:09 2018,['5010994914462'],['Thuis'],9.99,8.49,
fundoo,base,be,58416,Mon Nov  5 03:15:10 2018,['886111749010'],['Thuis'],54.99,,,
fundoo,base,be,20917,Mon Nov  5 03:15:10 2018,['8710341145279'],['Thuis'],8.99,7.64,
fundoo,base,be,64586,Mon Nov  5 03:15:10 2018,['5414233216940'],['Thuis'],15.99,13.59,
fundoo,base,be,38457,Mon Nov  5 03:15:11 2018,['8718532322027'],['Thuis'],3.49,2.44,
fundoo,base,be,49233,Mon Nov  5 03:15:11 2018,['0610934177688'],['Thuis'],100.0,,,
fundoo,base,be,32819,Mon Nov  5 03:15:13 2018,['5060225069683'],"['Thuis', 'Baby & peuter', 'Baby op stap', 'Draagmanden']",258.99,,,
fundoo,base,be,11386,Mon Nov  5 03:15:15 2018,['4001397359791'],['Thuis'],84.99,,,
fundoo,base,be,29962,Mon Nov  5 03:15:15 2018,['0011543941415'],"['Thuis', 'Speelgoedvoertuigen', 'Telegeleid speelgoed', ""RC Auto's""]",29.99,25.49,
fundoo,base,be,47685,Mon Nov  5 03:15:17 2018,['5013138661437'],['Thuis'],29.99,,,
fundoo,base,be,67105,Mon Nov  5 03:15:17 2018,['4005556120550'],"['Thuis', '3D Puzzels']",19.99,16.99,
fundoo,base,be,30381,Mon Nov  5 03:15:18 2018,['0887961109320'],"['Thuis', 'Poppen', 'Barbie']",34.99,,,
fundoo,base,be,22786,Mon Nov  5 03:15:18 2018,['3474230100385'],"['Thuis', 'Baby & peuter', 'Oxybul']",99.99,59.49,
fundoo,base,be,31188,Mon Nov  5 03:15:19 2018,['4014995208620'],['Thuis'],2.99,,,
fundoo,base,be,62157,Mon Nov  5 03:15:19 2018,['8715347724428'],"['Thuis', 'Buitenspeelgoed', 'Fietsjes', 'Kinderfietsen']",319.99,271.99,
fundoo,base,be,32590,Mon Nov  5 03:15:21 2018,['5055114316467'],['Thuis'],12.99,6.5,
fundoo,base,be,28926,Mon Nov  5 03:15:23 2018,['5414233206330'],['Thuis'],6.99,,,
fundoo,base,be,68783,Mon Nov  5 03:15:24 2018,['887961707182'],['Thuis'],24.99,15.29,
fundoo,base,be,36534,Mon Nov  5 03:15:24 2018,['8412497832743'],['Thuis'],7.99,5.59,
fundoo,base,be,63353,Mon Nov  5 03:15:24 2018,['4010070351038'],['Thuis'],6.95,,,
fundoo,base,be,22092,Mon Nov  5 03:15:24 2018,['8711808705296'],"['Thuis', 'Strategie En Denkspellen']",24.99,21.24,
fundoo,base,be,20016,Mon Nov  5 03:15:25 2018,['8005125365104'],"['Thuis', 'Legpuzzels']",36.99,31.44,
fundoo,base,be,46641,Mon Nov  5 03:15:27 2018,['5414240803461'],['Thuis'],16.99,11.89,
fundoo,base,be,12013,Mon Nov  5 03:15:27 2018,['5420023159601'],"['Thuis', 'Baby & peuter', 'Baby Slaapt', 'Babybedden']",219.99,,,
fundoo,base,be,33171,Mon Nov  5 03:15:28 2018,['8712364590166'],"['Thuis', 'Verkleden', 'Accessoires', 'Beroepsvoorwerpen']",2.5,,,
fundoo,base,be,50484,Mon Nov  5 03:15:28 2018,['0011543941729'],"['Thuis', 'Speelgoedvoertuigen', 'Telegeleid speelgoed', ""RC Auto's""]",34.99,29.74,
fundoo,base,be,68707,Mon Nov  5 03:15:28 2018,['5412025077571'],"['Thuis', 'Tuin', 'Carports']",2729.0,,,
fundoo,base,be,62231,Mon Nov  5 03:15:31 2018,['5410209010064'],['Thuis'],9.99,6.99,
fundoo,base,be,50805,Mon Nov  5 03:15:32 2018,['8412497826988'],['Thuis'],2.5,,,
fundoo,base,be,36106,Mon Nov  5 03:15:33 2018,['8056379016847'],"['Thuis', 'Buitenspeelgoed']",59.99,35.69,
fundoo,base,be,20808,Mon Nov  5 03:15:34 2018,['8711252353197'],"['Thuis', 'Baby & peuter', 'Waterspeelgoed']",6.99,,,
fundoo,base,be,14017,Mon Nov  5 03:15:34 2018,['5410091690489'],['Thuis'],5.99,,,
fundoo,base,be,60134,Mon Nov  5 03:15:35 2018,['5414240817659'],"['Thuis', 'Baby & peuter', 'Baby eet en drink', 'Borstvoeding']",24.99,,,
fundoo,base,be,57772,Mon Nov  5 03:15:35 2018,['8714574572604'],['Thuis'],39.99,,,
